variant,alpha,alpha_se,relative_activity,fold_change,n_replicates,n_excluded,sem,exclusion_reason,p_value,significant,q_value,significant_fdr
25,2.195797516714422,,0.27118636471018415,0.271,1,1,,,,False,1.0,False
28,2.018463371054199,,0.24928516392344663,0.249,1,1,,,,False,1.0,False
6,1.5372616984402079,,0.18985558023218307,0.19,1,1,,,,False,1.0,False
21,1.411965164710337,,0.17438115181410513,0.174,1,1,,,,False,1.0,False
39,1.3704131753828372,,0.16924937948700008,0.169,1,1,,,,False,1.0,False
38,1.3306149437954595,,0.1643342005308711,0.164,1,1,,,,False,1.0,False
10,1.3096020445418035,,0.16173905607094527,0.162,1,1,,,,False,1.0,False
19,1.3038928421933864,,0.16103395561497122,0.161,1,1,,,,False,1.0,False
2,1.173515662409378,0.12421319457139929,0.14493205498084746,0.145,2,0,0.054,,0.3799,False,1.0,False
34,1.1466948385149411,,0.14161961762034453,0.142,1,1,,,,False,1.0,False
40,1.1473580630320468,0.6206889435016206,0.14170152747059778,0.142,2,0,0.092,,0.4329,False,1.0,False
4,1.1081589466259112,,0.1368603407049176,0.137,1,1,,,,False,1.0,False
13,1.0747058530923765,0.36684929203918853,0.13272880182001917,0.133,2,0,0.066,,0.3844,False,1.0,False
35,1.0178934526230174,,0.12571233138662613,0.126,1,1,,,,False,1.0,False
15,0.9777846800217002,0.8294167501211872,0.12075879985562508,0.121,2,0,0.111,,0.3324,False,1.0,False
32,0.9362529152630215,,0.11562952531224312,0.116,1,1,,,,False,1.0,False
29,0.9012345679012346,,0.11130467375060592,0.111,1,1,,,,False,1.0,False
14,0.8726940335715473,,0.10777984794456566,0.108,1,1,,,,False,1.0,False
44,0.824357912178956,,0.10181021871196654,0.102,1,1,,,,False,1.0,False
16,0.7970367363507205,,0.09843598666367036,0.098,1,1,,,,False,1.0,False
3,0.7730853024970672,,0.09547792599235327,0.095,1,1,,,,False,1.0,False
33,0.5562519780119488,0.31241695860040297,0.06869847999720115,0.069,2,0,0.046,,0.195,False,1.0,False
7,0.5128228827077912,0.21342453874101577,0.06333488049017139,0.063,2,0,0.035,,0.1591,False,1.0,False
8,0.45326633165829144,,0.055979500747344736,0.056,1,1,,,,False,1.0,False
18,0.4300194931773879,,0.05310845932815501,0.053,1,1,,,,False,1.0,False
20,0.39552537151831524,0.33606813939673497,0.04884835092317254,0.049,2,0,0.045,,0.1844,False,1.0,False
12,0.13633563462559747,,0.016837784382730123,0.017,1,1,,,,False,1.0,False
17,0.061022106013786555,,0.007536379365980704,0.008,1,1,,,,False,1.0,False
27,0.06394022415940225,,0.007896774095312782,0.008,1,1,,,,False,1.0,False
5,,,,,0,2,,low_expression,,False,1.0,False
9,,,,,0,2,,low_expression,,False,1.0,False
11,,,,,0,2,,low_expression,,False,1.0,False
22,,,,,0,2,,low_expression,,False,1.0,False
23,,,,,0,2,,low_expression,,False,1.0,False
24,,,,,0,2,,low_expression,,False,1.0,False
26,,,,,0,2,,low_expression,,False,1.0,False
30,,,,,0,2,,low_expression,,False,1.0,False
31,,,,,0,2,,low_expression,,False,1.0,False
36,,,,,0,2,,low_expression,,False,1.0,False
37,,,,,0,2,,low_expression,,False,1.0,False
41,,,,,0,2,,low_expression,,False,1.0,False
42,,,,,0,2,,low_expression,,False,1.0,False
43,,,,,0,2,,low_expression,,False,1.0,False
45,,,,,0,2,,low_expression,,False,1.0,False
46,,,,,0,2,,low_expression,,False,1.0,False
